Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
83 /,1,36,36,36,"0,00","0,000%","27,77778","13,89","49,07","512,0"
84 /,1,192,192,192,"0,00","0,000%","5,20833","265,73","9,21","52245,0"
87 /ODE3NTNiKytqQXhsfF17d3QDfGBhGicrMh0pPShWPDYzDj0zaAgsMCxcIGkvCC1iNVRzPDodPzdgAA9xfC9qdgNEOSNgHj9qNV9rZghPPSJ4FT0jc1h2dnUVPTxzWH98dRU-N3MBOzA1Fn0Va1sJYXd1OSM5Rzg0a0MicXwvaTQkQXMEGSgQJSFRKnF9LX5iIl4nMHMKIBMkUC1jHEc3DC4dNi4mOwxqCVQ-BQRadwsCZDQhNyYOPDNadgEPPQ42a0B5cj4FcisxWysmaBsqLyxXc2N5XHhiNUUnMHMKKyVyASoyLFp9JnAKLzZ_DHcncxU4aXtHew==,1,148,148,148,"0,00","0,000%","6,75676","3,48","14,03","527,0"
86 /NzQ5MTFiKhV-R35gcll5SGUBe2JpDSEOf1IkMnk6AEciUmsEKRpzDj5FayQhVCYOJUU-cXUoa0gXEH8SMR45VCZFYyQqTHw8d0craWAaOUdgDH9kYBomR2AFdWRgGS1HOUE5JGNaD19jc2hmAB45DX9CPXo2BWtIFxM9NTRUOB8jEH4QdFl_TCAEaGZwDzwVP0EoOiI_Kwh0BglmaFh_VGACaGZwCy8ZOlAjMBAMPF9icX56dVtgTHQHeycwACpfYnF0ZyAKK08yBmA2dFx9V2AEKGNrUHlJMBh4ZnNdfkpiVChhdFFrSGdHLDAvBmtJFUN8cXRfLxglUD4gY1oKDjRGOXF0XH07IVQ_MSgda0hkBgwnMgg6EzUYPTU0DCAOdAd7MCVMfT5jEH9iKAdrSRUEaGZwCC8YYxB-EHdPPhZsWjk8IxtoCDReJDB7XnlPZhM9Ii8Ncxk1VHpmIg8sSWNXeG0nC38faVZ7cjBUe1Rl,1,224,224,224,"0,00","0,000%","4,46429","5,43","9,97","1245,0"
85 /OTVhMmFiPT95DywLaAM8ayQecFxgGyo_Pww-UHFeemNwGyNQNQ5pC2tZe19_XX9ycBglGSsFciMhH2MaNkc_OHlOHToHGjhpZ1F_XWA5GBUlAHBcdlF_cjAaIgABBiAzOg1wXWAPIyciCTkEIlR8cgY_DDInDS0wa1lrHjYAIWkuWXoXfgc3NXAKLht7W2kLazcSMhk2EAsJNxIyGTYQCwk3EjIZNhALCTcSMhk2EAsJNxIyGTYQCwk3EjIZNhALCTcSMhk2EAsJNxIyGTYQCwk3EjIZNhALCTcSMhk2EAsJNxIyGTYQCwk3EjIZNhALCTcSMhk2EAsJNxIyGTYQCwk3EjIZNhALCTcSMhk2EAsJNxIyGTYQCwk3EjIZNhALCTcSMhk2EAsJNxIyGTYQCwk3EjIZNhALCTcSMhk2EAsJNxIyGTYQCwk3EjIZNhALCTcSMhk2EAsJNxIy,1,247,247,247,"0,00","0,000%","4,04858","31,31","8,87","7918,0"
v.wpimg.pl:443,36,0,0,0,"0,00","100,000%",",00000","0,00","0,00","1152,3"
88 /success.txt,1,22,22,22,"0,00","0,000%","45,45455","17,05","13,63","384,0"
94 /success.txt,1,22,22,22,"0,00","0,000%","45,45455","17,05","13,63","384,0"
93 /NWNlNjBiLzNhPgNFIw09eC8IPR4wDC86EQA2RCMNPXg5GzlENRlgJyJDKQYtHiA2YAQ6By5GAmV_Q3xbc1B9ZXtUfF5tEXZmYSMvGQYMKDY7ADpFc1h2YnxdEVh3XXpvf1oRLi0EITMnMwIDLAIRIzYYET0rCCo4IwM9CSs2HRAROx5FLgAgPBEfKV16WnZlfVt2XXVde2B3XXpZekcmIyMAYV90XHhhKlorWXdaf2EsWC1fel19ZH5Yf152X3hieVgoVTIfJzNzDyoLdVsqMSxffAh3UC81fwl2CXRPPjRzBDoeMkx9FmteCE9wLzkgOUI5GmwZInJ8KmgdMgM9IXNeYFhsX3xxLw0sV3BPHgAPMy8OIA1zZmgzHCcdLAMHGjUR,1,133,133,133,"0,00","0,000%","7,51880","3,08","16,02","420,0"
89 /ZTc0MTk2OzBMYgB7ClYpewJUPiAZVzs5PFw1egpWKXsURzp6HEJ0JA8fKjgERTQ1TVg5OQcdFmZSH3xgWANoZlQBemFESm9tTH8sJy9XPDUWXDl7WgNibVIFEmZeBmxkVwQSDgpeOzoHXxIdAF00NTxqLDgKXD47PGMKCzxiBWRSH3ljXARsYFYHdWVSAW1jWwN6YFwFYmFUBX9jUwpvYlAHdGFYA216C0QgOEQHbGFVBiliDgFvZ1IGL2AIB2JgUAN9YFoGbmJVBXpgDQ0qIgpUcDcPU21mB1YvZ1lQb20CUnwxU1FschNTcDwfRipxUHFoZi0XaBIURzp6HEJ0JA8VfxJNRSo-EEZwZkUAdGJRFiw1CQ9ocjNnDAsKVjgwXgFrCzl_BREuYBkNNA==,1,149,149,149,"0,00","0,000%","6,71141","2,75","14,41","420,0"
